state,position,seats_republican,seats_democrat,type
Rhode Island,democrat,,4,preliminary
Connecticut,battleground,,,
West Virginia,republican,4,,preliminary
New Hampshire,battleground,,,
Idaho,battleground,,,
Delaware,democrat,,3,preliminary
Louisiana,republican,8,,preliminary
Alaska,battleground,,,
Mississippi,republican,6,,preliminary
South Dakota,republican,3,,preliminary
Maryland,democrat,,10,preliminary
Texas,republican,40,,preliminary
New York,democrat,,28,preliminary
Tennessee,republican,11,,preliminary
Montana,republican,4,,preliminary
Maine,battleground,,,
District of Columbia,democrat,,3,preliminary
Washington,battleground,,,
Nebraska,battleground,,,
Minnesota,battleground,,,
Colorado,democrat,,10,preliminary
Ohio,battleground,,,
Kansas,battleground,,,
Wyoming,republican,3,,preliminary
Arizona,battleground,,,
North Dakota,republican,3,,preliminary
Massachusetts,democrat,,11,preliminary
California,battleground,,,
New Mexico,battleground,,,
Michigan,battleground,,,
Pennsylvania,battleground,,,
Oregon,battleground,,,
Wisconsin,battleground,,,
Alabama,republican,9,,preliminary
South Carolina,republican,9,,preliminary
New Jersey,battleground,,,
Florida,republican,30,,preliminary
Iowa,battleground,,,
Illinois,democrat,,19,preliminary
Utah,republican,6,,preliminary
Vermont,democrat,,3,preliminary
Missouri,republican,10,,preliminary
Indiana,republican,11,,preliminary
Hawaii,battleground,,,
Georgia,battleground,,,
Arkansas,republican,6,,preliminary
Virginia,battleground,,,
North Carolina,battleground,,,
Nevada,battleground,,,
Oklahoma,republican,7,,preliminary
Kentucky,republican,8,,preliminary
