date,trump_score,harris_score,candidate_lead,position
2024-11-05 21:27:41.722326,,,,
2024-11-06 00:48:23.480887,,,,
2024-11-06 01:09:23.598929,,,,
2024-11-06 01:17:30.450783,,,,
2024-11-06 01:25:58.550918,,,,
2024-11-06 01:34:25.065802,,,,
2024-11-06 01:40:00.545672,,,,
2024-11-06 01:55:40.852409,,,,
2024-11-06 02:02:22.438576,,,,
2024-11-06 02:07:25.498265,45.1,53.0,harris,lean_harris
2024-11-06 02:13:53.336913,45.1,53.0,harris,lean_harris
2024-11-06 02:36:05.424796,44.8,53.3,harris,lean_harris
