date,trump_score,harris_score,candidate_lead,position
2024-10-21 09:50:17.351468,48.771,51.228,harris,battleground
2024-10-21 09:50:24.671946,48.771,51.228,harris,battleground
2024-10-21 08:04:23.290973,48.771,51.228,harris,battleground
2024-10-21 08:11:35.468291,48.771,51.228,harris,battleground
2024-10-21 09:07:21.167708,48.771,51.228,harris,battleground
2024-10-21 09:18:28.634893,48.771,51.228,harris,battleground
2024-10-21 10:07:22.503843,48.771,51.228,harris,battleground
2024-10-21 11:07:03.311374,48.771,51.228,harris,battleground
2024-10-21 12:10:34.802918,48.771,51.228,harris,battleground
2024-10-21 13:11:13.028691,48.771,51.228,harris,battleground
2024-10-21 14:06:34.157234,48.771,51.228,harris,battleground
2024-10-21 15:06:34.566675,48.771,51.228,harris,battleground
2024-10-21 16:07:02.351181,48.771,51.228,harris,battleground
2024-10-21 17:06:10.443956,48.771,51.228,harris,battleground
2024-10-21 18:08:13.732145,48.771,51.228,harris,battleground
2024-10-21 19:05:50.489408,48.771,51.228,harris,battleground
2024-10-21 20:06:49.474181,48.771,51.228,harris,battleground
2024-10-21 21:06:09.648541,48.771,51.228,harris,battleground
2024-10-21 22:06:09.597027,48.771,51.228,harris,battleground
2024-10-21 23:06:26.224202,48.771,51.228,harris,battleground
2024-10-22 00:25:58.310056,48.771,51.228,harris,battleground
2024-10-22 01:34:02.650693,48.771,51.228,harris,battleground
2024-10-22 02:29:26.832542,48.771,51.228,harris,battleground
2024-10-22 03:11:41.551647,48.771,51.228,harris,battleground
2024-10-22 04:07:41.365794,48.771,51.228,harris,battleground
2024-10-22 05:06:40.943124,48.771,51.228,harris,battleground
2024-10-22 06:08:43.107190,48.771,51.228,harris,battleground
2024-10-22 07:07:24.761867,48.771,51.228,harris,battleground
2024-10-22 08:08:33.733992,48.771,51.228,harris,battleground
2024-10-22 09:06:51.604342,48.771,51.228,harris,battleground
2024-10-22 10:06:43.494389,48.771,51.228,harris,battleground
2024-10-22 11:06:00.391715,48.771,51.228,harris,battleground
2024-10-22 12:10:41.457017,48.771,51.228,harris,battleground
2024-10-22 13:11:13.607278,48.771,51.228,harris,battleground
2024-10-22 14:06:22.295084,48.771,51.228,harris,battleground
