date,trump_score,harris_score,candidate_lead,position
2024-10-21 09:50:17.361738,50.661,49.338,trump,battleground
2024-10-21 09:50:24.679794,50.661,49.338,trump,battleground
2024-10-21 08:04:23.296593,50.661,49.338,trump,battleground
2024-10-21 08:11:35.473969,50.661,49.338,trump,battleground
2024-10-21 09:07:21.173330,50.661,49.338,trump,battleground
2024-10-21 09:18:28.640403,50.661,49.338,trump,battleground
2024-10-21 10:07:22.508426,50.661,49.338,trump,battleground
2024-10-21 11:07:03.316001,50.661,49.338,trump,battleground
2024-10-21 12:10:34.807682,50.661,49.338,trump,battleground
2024-10-21 13:11:13.033319,50.661,49.338,trump,battleground
2024-10-21 14:06:34.161897,50.661,49.338,trump,battleground
2024-10-21 15:06:34.571239,50.661,49.338,trump,battleground
2024-10-21 16:07:02.356134,50.661,49.338,trump,battleground
2024-10-21 17:06:10.448572,50.661,49.338,trump,battleground
2024-10-21 18:08:13.736850,50.661,49.338,trump,battleground
2024-10-21 19:05:50.494159,50.661,49.338,trump,battleground
2024-10-21 20:06:49.478834,50.661,49.338,trump,battleground
2024-10-21 21:06:09.653205,50.661,49.338,trump,battleground
2024-10-21 22:06:09.601614,50.661,49.338,trump,battleground
2024-10-21 23:06:26.228968,50.661,49.338,trump,battleground
2024-10-22 00:25:58.314915,50.661,49.338,trump,battleground
2024-10-22 01:34:02.655480,50.661,49.338,trump,battleground
2024-10-22 02:29:26.837382,50.661,49.338,trump,battleground
2024-10-22 03:11:41.556363,50.661,49.338,trump,battleground
2024-10-22 04:07:41.370485,50.661,49.338,trump,battleground
2024-10-22 05:06:40.947821,50.661,49.338,trump,battleground
2024-10-22 06:08:43.111899,50.661,49.338,trump,battleground
2024-10-22 07:07:24.766629,50.661,49.338,trump,battleground
2024-10-22 08:08:33.738701,50.661,49.338,trump,battleground
2024-10-22 09:06:51.609160,50.661,49.338,trump,battleground
2024-10-22 10:06:43.499108,50.661,49.338,trump,battleground
