date,trump_score,harris_score,candidate_lead,position
2024-10-21 09:50:17.347723,49.393,50.606,harris,battleground
2024-10-21 09:50:24.668130,49.393,50.606,harris,battleground
2024-10-21 08:04:23.288166,49.393,50.606,harris,battleground
2024-10-21 08:11:35.465414,49.393,50.606,harris,battleground
2024-10-21 09:07:21.164916,49.393,50.606,harris,battleground
2024-10-21 09:18:28.632127,49.393,50.606,harris,battleground
2024-10-21 10:07:22.500024,49.393,50.606,harris,battleground
2024-10-21 11:07:03.307417,49.393,50.606,harris,battleground
2024-10-21 12:10:34.798979,49.393,50.606,harris,battleground
2024-10-21 13:11:13.024780,49.393,50.606,harris,battleground
2024-10-21 14:06:34.153339,49.393,50.606,harris,battleground
2024-10-21 15:06:34.562858,49.393,50.606,harris,battleground
2024-10-21 16:07:02.346992,49.393,50.606,harris,battleground
2024-10-21 17:06:10.440030,49.393,50.606,harris,battleground
2024-10-21 18:08:13.728109,49.393,50.606,harris,battleground
2024-10-21 19:05:50.485406,49.393,50.606,harris,battleground
2024-10-21 20:06:49.470251,49.393,50.606,harris,battleground
2024-10-21 21:06:09.644624,49.393,50.606,harris,battleground
2024-10-21 22:06:09.593153,49.393,50.606,harris,battleground
